,activity,before_break,date,event,h1,h2,h3,h4,h5,player,type
4223,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.016666666666666666,0.0,0.0,0.0,linebacker,camp
4228,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.0,0.01,0.0,0.0,running back,camp
4227,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.01,0.01,0.0,0.0,0.0,off guard,camp
4222,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,def tackle,camp
4225,inside/1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.0,0.01,0.0,0.0,running back,camp
4226,inside,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.016666666666666666,0.0,0.0,0.0,linebacker,camp
4224,1on1,True,2017-08-03 10:15:00,fall camp practice #4,0.0,0.0,0.025,0.0,0.0,safety,camp
4215,skell vs. def,True,2017-08-03 10:20:00,fall camp practice #4,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,tight end,camp
4214,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.0,0.01,0.0,0.0,safety,camp
4213,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.01,0.01,0.0,0.0,0.0,off tackle,camp
4212,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.02,0.01,0.0,0.0,0.0,tight end,camp
4211,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.01,0.0,0.01,0.0,running back,camp
4210,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.02,0.01,0.0,0.0,0.0,def tackle,camp
4209,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.01,0.01,0.01,0.0,0.0,running back,camp
4208,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.0,0.01,0.0,0.0,0.0,linebacker,camp
4207,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.02,0.01,0.0,0.0,0.0,off guard,camp
4206,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.01,0.0,0.0,0.0,0.0,def end,camp
4205,team situation,True,2017-08-03 10:35:00,fall camp practice #4,0.02,0.0,0.0,0.0,0.0,linebacker,camp
4203,team situation,False,2017-08-03 10:40:00,fall camp practice #4,0.01,0.02,0.0,0.0,0.0,tight end,camp
4204,team situation,False,2017-08-03 10:40:00,fall camp practice #4,0.01,0.0,0.0,0.0,0.0,off guard,camp
4202,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,tight end,camp
4201,skell vs. offense,False,2017-08-03 10:50:00,fall camp practice #4,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,linebacker,camp
4200,skell vs. def,False,2017-08-03 10:50:00,fall camp practice #4,0.0,0.0,0.008333333333333333,0.0,0.0,tight end,camp
4199,skell vs. offense,False,2017-08-03 10:55:00,fall camp practice #4,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,linebacker,camp
4198,pass rush,False,2017-08-03 10:55:00,fall camp practice #4,0.0,0.020833333333333332,0.0,0.0,0.0,def tackle,camp
4197,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.0,0.0125,0.025,0.0,0.0,tight end,camp
4196,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.0,0.0125,0.0,0.0,0.0,off guard,camp
4195,team w/ 3s,False,2017-08-03 11:00:00,fall camp practice #4,0.0125,0.0,0.0,0.0,0.0,def tackle,camp
4188,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.005,0.01,0.0,0.0,0.0,tight end,camp
4189,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.005,0.0,0.005,0.0,0.0,def tackle,camp
4190,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.005,0.0,0.0,0.0,running back,camp
4187,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.0,0.005,0.005,0.0,0.0,tight end,camp
4192,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.015,0.0,0.0,0.0,0.0,def tackle,camp
4193,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.005,0.0,0.0,0.0,0.0,def end,camp
4191,team vs. def,False,2017-08-03 11:05:00,fall camp practice #4,0.005,0.005,0.005,0.0,0.0,off tackle,camp
4194,team vs. offense,False,2017-08-03 11:05:00,fall camp practice #4,0.005,0.005,0.0,0.0,0.0,linebacker,camp
4180,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.01,0.0,0.0,0.0,0.0,def tackle,camp
4181,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.005,0.0,0.0,linebacker,camp
4182,team vs. def,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.005,0.0,0.0,running back,camp
4186,team vs. offense,False,2017-08-03 11:10:00,fall camp practice #4,0.0,0.005,0.0,0.0,0.0,safety,camp
