,event,before_break,day,event_type,h2,h3,h4,h5,total_players,def_players,off_players,def_min,off_min,player_min,sum24,sum34,n2,n3,n4,n5,n24,n34
30,Navy #2,pre,2017-09-27,wed,10.0,6.0,3.0,1.0,16,7,9,70.0,60.0,1030.0,19.0,9.0,0.009708737864077669,0.005825242718446602,0.002912621359223301,0.000970873786407767,0.018446601941747572,0.008737864077669903
31,Navy #3,pre,2017-09-28,thurs,17.0,4.0,1.0,1.0,16,7,9,122.0,112.0,1862.0,22.0,5.0,0.009129967776584319,0.0021482277121374865,0.0005370569280343716,0.0005370569280343716,0.011815252416756176,0.0026852846401718583
32,Navy Game,post,2017-09-30,game,41.0,31.0,6.0,4.0,16,7,9,21.93,8.07,226.14,78.0,37.0,0.18130361722826568,0.13708322278234722,0.026532236667551078,0.017688157778367384,0.344919076678164,0.1636154594498983
33,Navy Game,pre,2017-09-30,game,58.0,21.0,8.0,3.0,16,7,9,17.7,12.3,234.6,87.0,29.0,0.247229326513214,0.08951406649616368,0.03410059676044331,0.01278772378516624,0.37084398976982097,0.123614663256607
84,Tulane #1,post,2017-10-03,tues,7.0,9.0,1.0,3.0,16,7,9,57.0,57.0,912.0,17.0,10.0,0.007675438596491228,0.009868421052631578,0.0010964912280701754,0.003289473684210526,0.01864035087719298,0.010964912280701754
85,Tulane #1,pre,2017-10-03,tues,1.0,0.0,0.0,0.0,16,7,9,70.0,60.0,1030.0,1.0,0.0,0.000970873786407767,0.0,0.0,0.0,0.000970873786407767,0.0
86,Tulane #2,pre,2017-10-05,thurs,5.0,3.0,0.0,1.0,16,7,9,122.0,112.0,1862.0,8.0,3.0,0.0026852846401718583,0.001611170784103115,0.0,0.0005370569280343716,0.004296455424274973,0.001611170784103115
87,Tulane Game,post,2017-10-07,game,35.0,24.0,2.0,1.0,17,8,9,20.48,9.52,249.51999999999998,61.0,26.0,0.14026931708881052,0.09618467457518436,0.00801538954793203,0.004007694773966015,0.2444693812119269,0.10420006412311639
88,Tulane Game,pre,2017-10-07,game,21.0,22.0,7.0,2.0,17,8,9,23.15,6.85,246.85,50.0,29.0,0.08507190601579907,0.08912294915940855,0.028357302005266358,0.008102086287218958,0.20255215718047398,0.1174802511646749
8,Houston #1,post,2017-10-10,tues,5.0,7.0,0.0,1.0,16,7,9,57.0,57.0,912.0,12.0,7.0,0.005482456140350877,0.007675438596491228,0.0,0.0010964912280701754,0.013157894736842105,0.007675438596491228
