,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4350,team vs. offense,post,2017-08-02 11:20:00,fall camp practice #3,2.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4352,team vs. offense,post,2017-08-02 11:20:00,fall camp practice #3,1.0,1.0,0.0,0.0,de,def end,defensive,camp,2017-08-02
4354,team vs. def,post,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4355,team vs. offense,post,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,safety,safety,defensive,camp,2017-08-02
4356,team vs. def,post,2017-08-02 11:20:00,fall camp practice #3,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-02
4353,team vs. def,post,2017-08-02 11:20:00,fall camp practice #3,0.0,1.0,0.0,1.0,qbrb,running back,offensive,camp,2017-08-02
4349,team vs. offense,post,2017-08-02 11:25:00,fall camp practice #3,0.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-02
4348,team vs. def,post,2017-08-02 11:25:00,fall camp practice #3,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-02
4347,team vs. offense,post,2017-08-02 11:25:00,fall camp practice #3,0.0,1.0,0.0,0.0,cb,cornerback,defensive,camp,2017-08-02
4346,pre,pre,2017-08-03 09:35:00,fall camp practice #4,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4339,indy,pre,2017-08-03 09:50:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4340,indy,pre,2017-08-03 09:50:00,fall camp practice #4,1.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4341,indy,pre,2017-08-03 09:50:00,fall camp practice #4,0.0,1.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4344,indy,pre,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4343,indy,pre,2017-08-03 09:50:00,fall camp practice #4,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4345,indy,pre,2017-08-03 09:50:00,fall camp practice #4,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4342,indy,pre,2017-08-03 09:50:00,fall camp practice #4,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4333,indy,pre,2017-08-03 09:55:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4332,indy,pre,2017-08-03 09:55:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4334,otb,pre,2017-08-03 09:55:00,fall camp practice #4,0.0,2.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4338,indy,pre,2017-08-03 09:55:00,fall camp practice #4,0.0,1.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4336,otb,pre,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4337,otb,pre,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4335,indy,pre,2017-08-03 09:55:00,fall camp practice #4,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4331,vice pursuit,pre,2017-08-03 10:00:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4330,indy,pre,2017-08-03 10:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4329,indy,pre,2017-08-03 10:05:00,fall camp practice #4,0.0,1.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4328,inside/1on1,pre,2017-08-03 10:10:00,fall camp practice #4,1.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4327,inside/1on1,pre,2017-08-03 10:10:00,fall camp practice #4,1.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4326,inside,pre,2017-08-03 10:10:00,fall camp practice #4,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4325,inside/1on1,pre,2017-08-03 10:10:00,fall camp practice #4,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4315,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4316,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4312,inside,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,1.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4313,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,1.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4317,inside,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4314,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4319,inside,pre,2017-08-03 10:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4324,inside/1on1,pre,2017-08-03 10:15:00,fall camp practice #4,0.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
